Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Background_4,7520,10.5,0,79,78957,78957
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Contralateral,1667841,29.996,0,255,50028424,50028424
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Ipsilateral,1336585,16.131,0,255,21560217,21560217
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Background_1,11980,5.743,0,181,68797,68797
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Background_2,17096,8.234,0,107,140761,140761
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Background_3,13368,9.615,0,161,128538,128538
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Background_4,15388,10.057,0,83,154756,154756
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Contralateral,1213912,24.312,0,255,29512903,29512903
5.17.23_P3_B,5.17.23,6.2.23,No,1917,MUT,Female,P3,B,TRUE,,Ipsilateral,996932,11.947,0,255,11909889,11909889
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Background_1,4528,11.14,0,255,50442,50442
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Background_2,6608,7.412,0,141,48976,48976
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Background_3,5420,7.262,0,130,39359,39359
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Background_4,6084,7.384,0,85,44927,44927
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Contralateral,1390479,31.12,0,255,43272379,43272379
5.17.23_P3_C,5.17.23,6.2.23,No,17,WT,Female,P3,C,TRUE,,Ipsilateral,1888458,23.921,0,255,45174013,45174013
